adview,views,likes,dislikes,comment,year,day_of_week,month,day,week_number,season,quarter,part_of_month
1,275174,1155,252,295,2016,3,6,9,23,2,1,0
4,387051,1004,166,75,2014,2,7,30,31,2,2,2
1,667992,7095,79,631,2013,4,4,12,15,1,1,1
13,657514,1256,232,179,2014,4,9,26,39,3,2,2
1,255008,686,45,18,2014,0,5,19,21,1,1,1
1,545413,1252,245,91,2013,0,2,25,9,0,0,2
1,58001,856,16,77,2016,3,7,28,30,2,2,2
1,1104944,6004,171,250,2014,5,12,20,51,0,3,1
2,755339,2679,276,625,2014,6,12,7,49,0,3,0
1,13646,62,7,18,2011,0,2,14,7,0,0,1
9,6571038,17072,573,1310,2009,6,3,29,13,1,0,2
10,26036,F,F,0,2015,4,8,7,32,2,2,0
1,758320,1023,178,7,2015,4,11,27,48,3,3,2
1,8699,220,6,30,2013,5,9,28,39,3,2,2
47,975664,1481,169,59,2010,0,7,12,28,2,2,1
2,423999,428,92,22,2012,1,9,18,38,3,2,1
1,177183,1294,48,871,2016,4,7,1,26,2,2,0
1,285298,846,170,195,2016,1,4,26,17,1,1,2
2,786965,5005,130,971,2016,2,1,20,3,0,0,1
4,23482,142,7,8,2016,6,7,17,28,2,2,1
1,4207,10,1,1,2016,3,9,8,36,3,2,0
7,64556,276,21,22,2013,2,10,2,40,3,3,0
1,290304,F,F,20,2017,2,1,25,4,0,0,2
4249,42485,409,24,72,2017,0,1,23,4,0,0,2
3,313571,432,59,24,2012,2,12,12,50,0,3,1
2,4888,108,7,F,2014,6,2,16,7,0,0,1
1,3816,6,2,0,2015,2,2,11,7,0,0,1
1,4077820,23395,1185,2528,2015,4,8,14,33,2,2,1
1,22975,33,3,3,2015,2,10,7,41,3,3,0
1,908,2,1,0,2014,0,4,14,16,1,1,1
2,1553717,4497,406,721,2013,3,10,31,44,3,3,2
4,6486,34,1,2,2016,2,12,14,50,0,3,1
76,28737,37,8,0,2014,4,4,18,16,1,1,1
2,15138,252,4,8,2017,4,1,6,1,0,0,0
2,542779,5830,138,1084,2016,6,4,24,16,1,1,2
8,5243682,9035,1817,768,2014,2,3,26,13,1,0,2
3,6888,74,2,59,2015,1,10,20,43,3,3,1
7,183994,1292,60,282,2015,0,11,9,46,3,3,0
2,859841,3591,140,189,2016,0,9,12,37,3,2,1
3,542052,2219,109,422,2014,2,11,12,46,3,3,1
2,392758,2617,42,307,2016,3,6,16,24,2,1,1
1255,1923,9,0,1,2017,3,1,19,3,0,0,1
1,762797,2032,148,49,2012,1,12,25,52,0,3,2
298,2676889,1763,1045,F,2016,4,7,1,26,2,2,0
1,9123,26,8,7,2013,4,5,3,18,1,1,0
1,3234,8,3,0,2014,1,11,25,48,3,3,2
2,638572,581,148,25,2016,0,2,1,5,0,0,0
8,2997251,5527,1122,456,2016,5,6,18,24,2,1,1
1,281479,262,21,12,2014,6,8,31,35,2,2,2
2,12331,13,3,0,2014,1,7,29,31,2,2,2
10,5610,23,0,4,2016,2,6,15,24,2,1,1
1,298607,F,F,64,2016,6,7,24,29,2,2,2
10,22264,1023,91,68,2012,1,12,25,52,0,3,2
13,134543,411,60,67,2013,4,6,28,26,2,1,2
1,590661,1339,111,68,2016,5,11,26,47,3,3,2
1,147239,2733,34,527,2016,4,3,18,11,1,0,1
1,1265327,11171,533,344,2017,2,3,1,9,1,0,0
1,2760023,1453,718,F,2015,5,8,22,34,2,2,2
1,1502536,1751,546,114,2016,4,9,2,35,3,2,0
3,64849,224,8,4,2015,5,7,18,29,2,2,1
7442,11120,19,1,1,2015,3,2,19,8,0,0,1
10,665458,7819,344,689,2016,2,7,6,27,2,2,0
1,26726,12,4,2,2015,2,4,8,15,1,1,0
1,35995,35,15,1,2013,1,7,30,31,2,2,2
4,65194,128,19,11,2011,3,11,3,44,3,3,0
8,849549,3480,64,325,2012,2,9,26,39,3,2,2
24,1057524,9713,383,527,2016,4,2,26,8,0,0,2
1015,1784,4,0,1,2015,2,6,17,25,2,1,1
1,12132,19,1,1,2014,5,7,26,30,2,2,2
1,41897,90,4,4,2015,3,9,3,36,3,2,0
1,1739,42,0,3,2016,2,6,1,22,2,1,0
1,187541,3362,66,795,2016,3,6,23,25,2,1,2
1,17041,186,8,49,2016,3,9,22,38,3,2,2
6,231594,790,71,58,2014,5,5,24,21,1,1,2
1,253244,439,92,15,2014,4,7,11,28,2,2,1
1,2118242,10029,612,947,2016,2,12,21,51,0,3,2
1,40627,311,10,0,2013,5,6,22,25,2,1,2
2,286633,474,158,72,2017,3,2,23,8,0,0,2
1,66454,770,76,237,2015,5,10,24,43,3,3,2
1,2122,13,1,0,2016,2,1,27,4,0,0,2
5,7381,330,9,7,2016,0,8,15,33,2,2,1
3,181035,661,46,29,2015,0,7,6,28,2,2,0
1,40898,151,7,10,2015,0,6,1,23,2,1,0
13,4803840,84462,2448,4699,2016,1,1,19,3,0,0,1
1,3797,0,2,F,2016,3,4,14,15,1,1,1
18,1501,28,2,8,2016,2,7,20,29,2,2,1
40,1062327,6011,190,904,2011,5,2,12,6,0,0,1
6,126409,122,10,26,2012,3,3,15,11,1,0,1
1,482858,1262,113,191,2016,2,3,2,9,1,0,0
991819,4354099,16640,1931,2101,2017,0,2,6,6,0,0,0
1,337741,602,40,60,2014,2,6,25,26,2,1,2
18,4689387,37473,1396,1062,2016,5,7,30,30,2,2,2
1,630106,1727,161,133,2014,0,8,11,33,2,2,1
2,305445,3662,45,555,2014,4,10,31,44,3,3,2
2,87631,1027,40,80,2016,5,7,9,27,2,2,0
1,10010,50,4,1,2010,5,12,25,51,0,3,2
6,67722,103,17,18,2013,5,9,21,38,3,2,2
1,24517,94,6,23,2014,5,9,6,36,3,2,0
290,1395538,24483,316,1156,2014,4,1,31,5,0,0,2
1,281,2,0,0,2013,1,12,3,49,0,3,0
2,56065,1323,147,175,2014,0,8,4,32,2,2,0
1,314031,489,39,53,2012,0,8,6,32,2,2,0
1,795518,3500,414,610,2014,4,12,19,51,0,3,1
155,1868248,14898,208,933,2013,0,4,1,14,1,1,0
3,6890,33,1,2,2015,5,11,14,46,3,3,1
4,704217,3496,382,136,2016,4,1,29,4,0,0,2
1,138252,858,8,31,2015,6,6,7,23,2,1,0
1,1273,4,0,0,2014,0,5,12,20,1,1,1
24,491665,682,57,116,2013,0,5,13,20,1,1,1
1,197659,150,64,10,2014,1,6,24,26,2,1,2
12,104416,80,13,11,2011,1,11,8,45,3,3,0
21,46195,355,86,65,2014,4,7,11,28,2,2,1
4,3002,7,0,3,2011,6,11,13,45,3,3,1
2,1060701,2195,529,1112,2016,3,5,19,20,1,1,1
1,98983,440,43,70,2016,6,7,10,27,2,2,0
2,3643817,2444,920,307,2015,4,5,15,20,1,1,1
1,11440,F,F,26,2013,6,4,21,16,1,1,2
2,144072,40,17,5,2014,4,1,24,4,0,0,2
2,38019,640,4,23,2016,4,11,4,44,3,3,0
1,1980685,7276,909,926,2016,2,12,14,50,0,3,1
1,32330,44,2,5,2013,3,10,31,44,3,3,2
2,36797,76,10,1,2013,6,7,21,29,2,2,2
1,1656398,7064,338,459,2012,1,5,22,21,1,1,2
1,300667,106,26,0,2014,4,2,28,9,0,0,2
2,13232,217,4,36,2015,4,9,11,37,3,2,1
1,306,17,0,3,2016,1,11,15,46,3,3,1
2,237098,285,52,35,2016,6,9,18,37,3,2,1
1,3001,30,0,16,2016,1,4,12,15,1,1,1
1,995729,1279,234,52,2015,3,8,20,34,2,2,1
1,6300,105,2,7,2016,0,8,29,35,2,2,2
5,203295,203,44,7,2013,2,5,22,21,1,1,2
1,162881,1278,68,44,2015,0,4,6,15,1,1,0
1,402657,3546,46,1061,2015,4,3,20,12,1,0,1
7,529737,446,361,100,2016,4,1,22,3,0,0,2
1,252404,1658,55,110,2016,5,8,27,34,2,2,2
1,949368,749,273,246,2017,1,2,7,6,0,0,0
1,3402,22,0,3,2014,0,4,7,15,1,1,0
74849,187227,484,75,129,2016,1,5,10,19,1,1,0
1,13680,1,2,1,2015,2,8,12,33,2,2,1
9,19767,22,1,0,2014,2,11,26,48,3,3,2
1,394886,688,67,137,2013,3,10,31,44,3,3,2
1,226520,939,62,123,2015,5,6,6,23,2,1,0
2,99253,332,24,16,2015,5,6,20,25,2,1,1
1,65364,94,8,11,2015,2,4,1,14,1,1,0
16609,75322,407,6,3,2015,2,5,13,20,1,1,1
3,290482,1496,32,85,2014,5,9,27,39,3,2,2
1,560599,4823,128,994,2015,3,10,22,43,3,3,2
1,230762,2480,67,194,2015,0,8,31,36,2,2,2
1,180442,1174,27,680,2015,2,12,16,51,0,3,1
1,135869,567,37,279,2016,4,8,26,34,2,2,2
1,65135,437,99,68,2016,1,7,12,28,2,2,1
1,53122,172,10,8,2015,0,9,28,40,3,2,2
2,1036627,10602,517,1251,2016,1,5,17,20,1,1,1
1,14603,18,5,3,2013,0,1,7,2,0,0,0
3,687081,4836,499,333,2014,5,5,3,18,1,1,0
1,43386,62,22,1,2013,1,7,30,31,2,2,2
9,3042,22,3,1,2017,2,2,22,8,0,0,2
3,149748,140,46,19,2015,1,7,7,28,2,2,0
1,166088,1469,20,236,2016,3,7,7,27,2,2,0
6,179910,406,20,47,2010,0,3,15,11,1,0,1
3,118821,81,23,19,2016,0,4,11,15,1,1,1
1,5045,13,0,15,2013,6,2,10,6,0,0,0
1,10306,29,2,3,2015,1,6,16,25,2,1,1
2,2005878,3042,803,376,2014,6,4,6,14,1,1,0
1,86916,133,15,8,2016,1,5,31,22,1,1,2
1,92351,240,9,86,2016,3,8,11,32,2,2,1
1,3399,10,0,1,2012,2,12,26,52,0,3,2
35894,57720,55,2,0,2015,3,5,14,20,1,1,1
5,3264,2,1,0,2014,2,4,23,17,1,1,2
1,633615,1011,333,129,2016,0,2,29,9,0,0,2
1,1298,4,5,2,2016,4,3,18,11,1,0,1
10,565735,612,55,6,2012,1,4,24,17,1,1,2
6,1416667,2314,471,F,2016,5,4,2,13,1,1,0
12,107003,1065,142,103,2013,4,3,8,10,1,0,0
2,53203,107,5,3,2016,4,8,26,34,2,2,2
2,235781,6297,145,563,2016,0,5,23,21,1,1,2
1,330159,F,F,22,2016,6,5,22,20,1,1,2
176,1647711,1632,507,95,2014,2,2,12,7,0,0,1
1,75581,90,34,5,2016,2,2,10,6,0,0,0
1,59591,181,8,38,2014,0,12,22,52,0,3,2
1,158008,578,60,1028,2016,4,5,27,21,1,1,2
1,420508,4991,211,3997,2015,1,8,4,32,2,2,0
2,196191,2706,64,573,2016,3,7,14,28,2,2,1
1,1523480,6191,911,4816,2015,1,12,22,52,0,3,2
1,262528,774,100,62,2013,0,5,13,20,1,1,1
1,196020,256,27,77,2014,5,9,6,36,3,2,0
1,11010,14,2,0,2016,4,3,18,11,1,0,1
8,410049,3166,188,2893,2016,4,7,29,30,2,2,2
1,99239,262,12,7,2014,0,11,3,45,3,3,0
2,13600,437,8,53,2017,2,1,25,4,0,0,2
2,20419,120,309,326,2013,1,2,5,6,0,0,0
4,78900,579,46,379,2013,3,8,29,35,2,2,2
1,96547,119,25,19,2014,2,1,22,4,0,0,2
2,116642,733,12,183,2015,0,8,3,32,2,2,0
1,320333,1060,39,110,2014,3,5,8,19,1,1,0
1,15566,40,2,2,2015,4,1,16,3,0,0,1
1,817562,11541,111,1221,2016,6,7,17,28,2,2,1
1,581299,1612,88,138,2013,6,9,29,39,3,2,2
3,78446,F,F,30,2011,4,10,14,41,3,3,1
1,7174888,32769,1705,1368,2015,1,6,23,26,2,1,2
1246,2409,13,0,0,2016,2,2,17,7,0,0,1
3,597127,1380,195,569,2016,1,8,16,33,2,2,1
2,158416,341,53,86,2015,0,1,5,2,0,0,0
3,1183,F,F,0,2016,4,11,18,46,3,3,1
22,600349,4272,220,460,2016,5,4,16,15,1,1,1
4,199435,138,73,23,2016,6,7,24,29,2,2,2
1,98653,842,147,651,2016,1,8,30,35,2,2,2
2,20327,93,4,9,2014,0,4,14,16,1,1,1
1,28147,96,3,3,2013,3,10,10,41,3,3,0
1,145954,387,33,9,2011,0,3,21,12,1,0,2
4,1357800,2787,194,131,2014,1,7,29,31,2,2,2
14,3320443,35788,538,1672,2016,5,7,30,30,2,2,2
1,9505,201,2,91,2014,6,3,30,13,1,0,2
37,2908493,16297,7623,7106,2016,5,8,13,32,2,2,1
9,84544,313,48,16,2013,3,7,11,28,2,2,1
1,43172,59,21,81,2011,6,5,1,17,1,1,0
1,207690,708,236,114,2012,3,9,6,36,3,2,0
1497349,1525185,414,114,19,2016,1,12,27,52,0,3,2
10,5090402,28291,2063,3515,2015,5,2,21,8,0,0,2
3,29963,32,1,0,2013,3,8,1,31,2,2,0
1,431968,1945,69,164,2016,6,3,6,9,1,0,0
1,38207,618,3,136,2013,4,6,28,26,2,1,2
2,25309,F,F,5,2015,1,5,5,19,1,1,0
3,224563,730,25,165,2013,4,3,1,9,1,0,0
1,251136,1228,23,655,2010,0,10,4,40,3,3,0
3,233705,1255,46,287,2016,2,6,29,26,2,1,2
74,789405,2487,307,156,2014,0,3,3,10,1,0,0
1,285891,4739,44,159,2015,0,1,26,5,0,0,2
1,89387,300,10,33,2014,4,5,30,22,1,1,2
1,1650193,3789,324,209,2015,1,9,29,40,3,2,2
2,37599,36,9,0,2013,5,4,13,15,1,1,1
1,1527891,4524,676,F,2014,6,5,11,19,1,1,1
1,799100,4294,378,351,2014,6,9,28,39,3,2,2
1,402911,1212,142,191,2014,5,5,17,20,1,1,1
1,47198,238,16,82,2014,6,11,9,45,3,3,0
2,257266,115,63,F,2016,5,2,27,8,0,0,2
15,62659,336,25,32,2013,0,9,23,39,3,2,2
64825,65737,4,1,0,2016,2,10,19,42,3,3,1
2,215766,1321,30,39,2016,2,7,6,27,2,2,0
2,304152,712,92,25,2010,5,8,28,34,2,2,2
1,82041,104,26,7,2016,2,6,1,22,2,1,0
1,40142,49,17,3,2015,5,2,7,6,0,0,0
6,224060,1080,77,515,2013,1,5,28,22,1,1,2
8,94136,303,8,41,2010,6,10,24,42,3,3,2
98,551,1,0,0,2017,2,4,19,16,1,1,1
23,3517104,1142,567,68,2012,2,2,1,5,0,0,0
1,57064,83,13,4,2015,2,7,29,31,2,2,2
1,63681,181,23,20,2012,0,9,17,38,3,2,1
3,30811,138,9,14,2014,4,4,18,16,1,1,1
12,1060721,979,278,67,2015,6,6,21,25,2,1,2
1,422057,2448,1466,2150,2014,4,8,15,33,2,2,1
1,876615,5915,132,1289,2014,0,3,17,12,1,0,1
5,5461,14,0,0,2014,4,2,14,7,0,0,1
1,255473,199,69,46,2013,2,4,17,16,1,1,1
2,633,1,0,0,2016,2,11,9,45,3,3,0
1,198260,277,75,19,2016,4,2,5,5,0,0,0
1,27225,73,1,4,2016,3,1,28,4,0,0,2
1,33036,847,19,227,2016,5,9,3,35,3,2,0
1,2682,56,5,6,2017,2,3,1,9,1,0,0
2,53684,90,10,3,2012,6,10,7,40,3,3,0
4,74987,159,6,21,2012,5,5,19,20,1,1,1
3,292562,390,33,51,2015,2,5,20,21,1,1,1
2,75963,466,10,66,2016,1,7,19,29,2,2,1
1,20827,34,3,4,2011,2,6,29,26,2,1,2
1,28869,55,7,6,2010,1,12,28,52,0,3,2
1,511598,928,106,53,2016,2,4,13,15,1,1,1
481,12006281,2840,2502,285,2013,5,12,28,52,0,3,2
8,1872,5,1,0,2016,1,8,2,31,2,2,0
36,365176,540,48,55,2014,2,4,9,15,1,1,0
1,34303,58,2,0,2015,0,8,17,34,2,2,1
2,230736,1632,79,1504,2016,4,7,22,29,2,2,2
2,1163428,2118,289,72,2014,2,4,9,15,1,1,0
22,2168984,17193,292,3007,2016,5,9,17,37,3,2,1
1,2292485,4532,389,189,2012,6,6,17,24,2,1,1
2,604422,912,29,202,2010,3,12,30,52,0,3,2
1,197334,1506,45,108,2015,1,12,1,49,0,3,0
1,137237,419,17,13,2012,2,5,9,19,1,1,0
2,552628,4286,166,996,2015,4,5,15,20,1,1,1
1,89767,877,23,82,2013,6,3,24,12,1,0,2
2,225070,2082,122,1218,2016,1,9,13,37,3,2,1
1,128282,130,10,35,2013,4,7,26,30,2,2,2
1,5562,38,2,2,2015,2,2,4,6,0,0,0
8,356382,970,70,48,2014,0,1,27,5,0,0,2
8,2269880,8164,330,860,2015,3,7,30,31,2,2,2
9,853970,1329,237,65,2011,1,5,3,18,1,1,0
673,1553,16,1,1,2016,5,9,17,37,3,2,1
1,570824,1001,30,80,2014,6,10,5,40,3,3,0
29607,39173,938,3,14,2016,4,12,23,51,0,3,2
7,429342,235,96,13,2016,4,7,22,29,2,2,2
1,942484,2571,255,261,2014,0,3,10,11,1,0,0
14,1533580,24764,847,14309,2016,5,9,10,36,3,2,0
4,303332,637,45,29,2011,0,9,26,39,3,2,2
2,918768,1942,171,108,2015,3,10,22,43,3,3,2
8,60878,89,18,5,2014,4,4,11,15,1,1,1
1,54901,57,36,1,2017,0,2,13,7,0,0,1
3,33580,274,6,44,2016,4,9,9,36,3,2,0
31,990276,29246,282,4028,2016,4,2,26,8,0,0,2
1,368033,138,61,16,2016,1,6,28,26,2,1,2
8,23232,276,8,84,2013,6,4,7,14,1,1,0
9,5207368,4461,1498,320,2016,3,2,4,5,0,0,0
2,2546400,10047,416,180,2013,5,4,6,14,1,1,0
1,24586,77,2,9,2011,3,1,20,3,0,0,1
8,4869688,10200,2318,353,2016,4,10,14,41,3,3,1
3,231175,676,73,107,2013,0,4,29,18,1,1,2
5,107984,213,8,46,2010,5,8,28,34,2,2,2
2,114097,1043,59,692,2016,1,9,27,39,3,2,2
4,1632604,13194,763,2072,2016,5,1,9,1,0,0,0
1,219753,1551,18,124,2015,4,8,28,35,2,2,2
2,36995,131,4,25,2016,4,5,27,21,1,1,2
14351,20306,226,16,29,2017,3,3,23,12,1,0,2
27,2600138,1158,598,212,2015,5,11,21,47,3,3,2
1,21712,87,3,9,2013,2,8,14,33,2,2,1
1,1183255,3026,418,141,2017,1,3,21,12,1,0,2
6,47615,57,7,5,2012,3,2,16,7,0,0,1
1,4985,153,11,20,2017,5,2,11,6,0,0,1
1,14150,16,7,3,2012,2,2,15,7,0,0,1
7,14834,360,8,15,2016,4,5,27,21,1,1,2
12,6794324,12598,2495,1039,2013,4,12,20,51,0,3,1
1,434,2,0,0,2016,0,7,18,29,2,2,1
1,140383,760,33,198,2016,4,6,17,24,2,1,1
1,61342,480,113,83,2015,4,8,7,32,2,2,0
1,443390,2200,214,131,2015,0,10,19,43,3,3,1
1,74064,363,23,28,2013,2,12,4,49,0,3,0
1,8214,165,6,7,2015,4,1,30,5,0,0,2
3,1552329,8982,499,1736,2015,5,4,4,14,1,1,0
2,8988,29,0,0,2011,6,12,4,48,0,3,0
1,3705,14,0,1,2010,5,10,2,39,3,3,0
1,16619,10,1,6,2014,4,1,31,5,0,0,2
2,850824,2925,38,179,2015,4,8,28,35,2,2,2
1,12369,15,4,0,2016,4,7,22,29,2,2,2
1,201938,905,28,26,2016,1,2,23,8,0,0,2
1,315119,271,24,179,2008,0,10,27,44,3,3,2
2,205539,1046,162,881,2016,4,7,8,27,2,2,0
1,414659,1034,181,174,2016,0,5,23,21,1,1,2
2,54336940,128004,8629,6650,2016,5,12,10,49,0,3,0
1,8056014,16871,4250,765,2016,2,11,16,46,3,3,1
7,2655180,1452,560,97,2015,2,9,9,37,3,2,0
4,149479,75,27,2,2013,3,8,1,31,2,2,0
3,384099,496,86,33,2015,3,10,1,40,3,3,0
1,290923,4667,89,331,2014,3,1,16,3,0,0,1
2,70695,748,56,493,2016,6,9,25,38,3,2,2
1,314866,860,114,283,2015,5,6,27,26,2,1,2
6,3394,36,6,4,2014,2,11,5,45,3,3,0
3,374767,3094,572,1325,2016,3,9,8,36,3,2,0
22,1196676,2339,183,96,2014,3,3,27,13,1,0,2
2,145860,1210,7,55,2015,4,11,20,47,3,3,1
13049,17914,44,1,2,2016,4,12,23,51,0,3,2
6,1379234,1304,637,77,2016,5,4,9,14,1,1,0
11,1718662,3336,126,188,2016,5,8,13,32,2,2,1
1,33239,616,14,85,2016,2,10,12,41,3,3,1
2,320123,6655,161,4941,2016,6,6,12,23,2,1,1
12,451972,366,176,86,2013,4,4,19,16,1,1,1
1,53521,202,17,68,2014,4,5,30,22,1,1,2
7,8472,46,4,13,2011,5,7,30,30,2,2,2
1,1425910,5489,337,236,2011,4,12,23,51,0,3,2
1,707449,9508,362,3203,2017,1,3,7,10,1,0,0
1,18659,54,7,8,2016,3,8,25,34,2,2,2
1,50987,165,23,1,2017,0,4,17,16,1,1,1
2,2306279,36812,752,1810,2017,5,4,15,15,1,1,1
2,62405,735,10,38,2014,3,12,18,51,0,3,1
21767,46938,169,11,11,2014,0,6,9,24,2,1,0
3,4521,27,48,F,2014,0,4,14,16,1,1,1
1,6038,140,4,17,2014,4,3,28,13,1,0,2
2,5043972,43176,2096,2988,2015,4,3,6,10,1,0,0
8,200101,2564,48,1559,2012,0,10,1,40,3,3,0
13021,15003,20,8,0,2015,4,9,25,39,3,2,2
3,100184,2197,29,61,2015,6,8,2,31,2,2,0
5,459863,6262,143,4073,2016,5,8,20,33,2,2,1
1,327180,183,130,26,2016,3,9,8,36,3,2,0
1,98820,489,46,50,2014,4,8,15,33,2,2,1
2,58790,674,28,236,2015,6,8,16,33,2,2,1
1,314859,1622,497,1651,2016,1,8,2,31,2,2,0
1,18577,189,22,28,2014,5,4,12,15,1,1,1
15,110094,428,12,47,2011,0,6,20,25,2,1,1
6,30043,100,6,13,2013,6,12,29,52,0,3,2
6,4178589,705,475,102,2013,3,6,6,23,2,1,0
1,8193,14,1,1,2016,3,6,30,26,2,1,2
3,353845,330,137,98,2013,4,11,8,45,3,3,0
427809,434417,3,0,0,2016,4,8,26,34,2,2,2
4,34148,287,6,71,2014,1,4,8,15,1,1,0
4,1063282,5937,326,1817,2016,5,6,4,22,2,1,0
1,90065,249,13,53,2014,0,5,19,21,1,1,1
1,26923,36,8,4,2015,2,3,11,11,1,0,1
1,8816,27,1,1,2014,4,10,17,42,3,3,1
1,24073,741,171,210,2011,3,7,14,28,2,2,1
2,91266,4128,62,309,2016,2,8,10,32,2,2,0
2,468807,200,77,89,2014,4,11,21,47,3,3,2
1,60224,80,2,4,2016,2,6,1,22,2,1,0
1,130232,433,8,55,2014,0,12,15,51,0,3,1
6,274940,509,35,178,2016,0,5,16,20,1,1,1
1,15680,353,15,12,2014,5,5,24,21,1,1,2
1,340093,421,112,52,2015,4,8,28,35,2,2,2
1,14094,519,79,110,2016,3,8,4,31,2,2,0
2,43094,161,8,25,2016,4,10,28,43,3,3,2
19,331,0,0,0,2016,1,8,9,32,2,2,0
13,525588,653,201,126,2013,2,10,9,41,3,3,0
2,676,0,0,0,2016,5,10,15,41,3,3,1
1,48455,324,27,91,2016,1,9,13,37,3,2,1
1,20180,65,10,11,2015,4,6,5,23,2,1,0
3,5881,49,0,2,2016,1,6,21,25,2,1,2
3,17551,34,4,2,2014,2,4,23,17,1,1,2
1,66133,56,22,8,2012,0,6,18,25,2,1,1
12,75961,235,13,39,2013,4,5,31,22,1,1,2
1,2799,14,1,4,2016,4,7,29,30,2,2,2
1,1827,9,1,1,2016,1,1,26,4,0,0,2
16,1289645,551,241,74,2012,2,7,25,30,2,2,2
1,8537,7,3,0,2016,2,8,31,35,2,2,2
1,1834,3,2,0,2014,4,5,30,22,1,1,2
1,612,22,0,2,2016,6,8,28,34,2,2,2
7,1404396,1213,399,196,2016,0,6,13,24,2,1,1
1,542684,4772,1791,1888,2016,3,9,29,39,3,2,2
1,18897,7,12,2,2014,3,11,27,48,3,3,2
3,8711987,23625,2158,917,2016,6,11,6,44,3,3,0
2,107665,1177,49,178,2014,2,1,22,4,0,0,2
1,70345,500,10,43,2016,4,1,15,2,0,0,1
2,50416,134,23,7,2012,2,10,17,42,3,3,1
1,510277,2584,128,83,2015,3,3,19,12,1,0,1
127,1527,56,4,12,2016,6,9,11,36,3,2,1
1,53726,59,27,7,2015,5,8,1,31,2,2,0
1,39492,89,12,9,2014,6,12,7,49,0,3,0
4,91446,1866,71,456,2016,4,12,16,50,0,3,1
1,391236,5614,195,1394,2010,6,7,4,26,2,2,0
8,2048150,6741,573,218,2014,0,3,10,11,1,0,0
1,373808,618,44,12,2015,5,3,28,13,1,0,2
3,440,1,0,0,2016,0,7,25,30,2,2,2
29,1802661,1187,313,158,2011,0,2,21,8,0,0,2
1,50734,235,14,15,2014,4,4,18,16,1,1,1
28686,32053,68,0,1,2015,4,10,30,44,3,3,2
1,53943,72,30,68,2012,2,7,11,28,2,2,1
1,670869,3225,84,508,2016,1,7,5,27,2,2,0
3,1374106,5128,341,958,2015,6,12,27,52,0,3,2
1,122677,483,14,45,2012,3,9,20,38,3,2,1
2,97424,405,24,118,2016,2,7,20,29,2,2,1
2,170935,346,18,13,2012,5,9,1,35,3,2,0
1,11579,16,2,1,2013,2,8,21,34,2,2,2
8,211367,463,12,46,2005,1,12,13,50,0,3,1
1,13620,18,1,0,2013,0,12,16,51,0,3,1
1,400559,957,73,264,2016,5,10,1,39,3,3,0
2,402705,407,39,35,2016,5,1,30,4,0,0,2
3,244889,401,121,31,2016,5,7,16,28,2,2,1
2,389749,924,179,1101,2016,6,3,13,10,1,0,1
33,3935165,2568,851,240,2011,0,12,26,52,0,3,2
1,11713,258,4,182,2013,6,11,3,44,3,3,0
9,63609,59,8,6,2016,1,4,5,14,1,1,0
1,554,2,0,0,2017,5,1,28,4,0,0,2
2,1280012,471,487,21,2016,0,4,11,15,1,1,1
1,94561,100,37,39,2014,0,1,13,3,0,0,1
1,817405,4773,66,452,2011,0,10,24,43,3,3,2
1,529448,3690,126,195,2012,3,8,9,32,2,2,0
3891,34986,31,8,1,2015,4,5,15,20,1,1,1
1,13801,73,1,18,2016,6,8,14,32,2,2,1
2,910,5,0,0,2015,3,10,15,42,3,3,1
2,2852,93,8,12,2016,6,1,17,2,0,0,1
11,1212994,15876,159,474,2016,2,2,24,8,0,0,2
2,990890,883,159,76,2016,4,8,5,31,2,2,0
3,276674,1640,41,137,2013,1,6,4,23,2,1,0
2,85301,738,21,86,2014,2,12,3,49,0,3,0
14,410557,2065,30,511,2010,6,10,24,42,3,3,2
1,12009,171,12,5,2016,3,8,11,32,2,2,1
1,19597,25,4,3,2014,4,5,30,22,1,1,2
162,158866,1341,285,368,2015,0,12,21,52,0,3,2
1,301378,445,97,39,2015,2,10,14,42,3,3,1
3,17446,14,7,F,2016,3,7,21,29,2,2,2
1,31916,481,2,12,2016,6,11,6,44,3,3,0
2,335182,3578,166,379,2016,2,8,24,34,2,2,2
1,144904,124,18,9,2013,3,1,10,2,0,0,0
34,1038224,1953,235,119,2016,6,9,11,36,3,2,1
2,112429,410,15,115,2015,6,3,1,9,1,0,0
1,1955,8,1,2,2013,1,12,24,52,0,3,2
18,272564,534,50,53,2013,2,7,31,31,2,2,2
2,26758,34,7,19,2013,1,9,10,37,3,2,0
7,32669,291,3,17,2015,0,4,20,17,1,1,1
3940,15742,313,56,83,2015,0,3,16,12,1,0,1
2,14305,68,34,0,2016,4,4,1,13,1,1,0
1,45265,641,9,116,2012,6,11,4,44,3,3,0
1,518005,19720,703,1492,2016,6,6,26,25,2,1,2
13,2461671,2301,393,97,2014,4,11,21,47,3,3,2
1,198364,317,28,85,2016,2,1,13,2,0,0,1
2,335387,813,64,59,2016,3,3,24,12,1,0,2
2,26448,14,3,2,2014,2,4,23,17,1,1,2
4,1358711,1486,288,413,2012,2,3,7,10,1,0,0
1,9810,125,12,36,2012,5,12,15,50,0,3,1
2,166103,838,30,49,2016,4,8,12,32,2,2,1
1,56232,503,9,68,2014,4,12,26,52,0,3,2
1,19485,309,5,59,2016,3,7,21,29,2,2,2
1699,1560195,3013,712,3722,2016,4,3,18,11,1,0,1
1,248680,331,34,11,2013,0,7,1,27,2,2,0
